net,length_um
_0280_,8.06µm
deser_A.kept_shift_reg\[46\],8.06µm
deser_A.kept_shift_reg\[60\],8.02µm
deser_B.kept_shift_reg\[33\],8.02µm
deser_B.kept_shift_reg\[78\],8.02µm
_0489_,8µm
_0184_,7.98µm
deser_B.kept_shift_reg\[6\],7.98µm
deser_A.kept_shift_reg\[127\],7.94µm
_0446_,7.92µm
_0065_,7.9µm
deser_A.kept_shift_reg\[86\],7.9µm
_0054_,7.885µm
_0091_,7.885µm
deser_A.kept_shift_reg\[107\],7.86µm
deser_A.kept_shift_reg\[109\],7.86µm
systolic_inst.cycle_cnt\[19\],7.86µm
_0250_,7.82µm
_0331_,7.82µm
_0214_,7.8µm
deser_A.kept_shift_reg\[74\],7.8µm
_0242_,7.76µm
deser_A.kept_shift_reg\[95\],7.74µm
_0283_,7.68µm
ser_C.kept_bit_idx\[2\],7.68µm
_0164_,7.64µm
_0297_,7.64µm
_0445_,7.62µm
_0089_,7.6µm
_0252_,7.6µm
_0392_,7.6µm
_0518_,7.58µm
_0207_,7.56µm
_0398_,7.56µm
_0416_,7.56µm
_0469_,7.56µm
deser_B.kept_shift_reg\[63\],7.56µm
_0373_,7.52µm
_0427_,7.52µm
_0438_,7.52µm
deser_B.kept_shift_reg\[120\],7.52µm
deser_B.kept_shift_reg\[70\],7.52µm
deser_B.kept_shift_reg\[72\],7.52µm
_0293_,7.44µm
deser_A.kept_shift_reg\[89\],7.44µm
net33,7.44µm
_0154_,7.34µm
_0159_,7.32µm
_0390_,7.3µm
_0477_,7.3µm
_0026_,7.285µm
_0377_,7.28µm
deser_A.kept_shift_reg\[108\],7.28µm
_0205_,7.26µm
_0222_,7.26µm
_0124_,7.22µm
_0204_,7.22µm
_0262_,7.22µm
_0294_,7.22µm
_0512_,7.2µm
ser_C.kept_bit_idx\[8\],7.2µm
_0514_,7.18µm
deser_B.kept_shift_reg\[16\],7.18µm
deser_A.kept_shift_reg\[15\],7.16µm
_0282_,7.14µm
_0519_,7.14µm
_0264_,7.1µm
_0380_,7.1µm
_0086_,7.06µm
_0134_,7.06µm
_0000_,6.98µm
_0039_,6.98µm
systolic_inst.cycle_cnt\[23\],6.98µm
deser_A.kept_shift_reg\[96\],6.96µm
_0401_,6.94µm
_0499_,6.94µm
deser_A.kept_shift_reg\[13\],6.94µm
deser_A.kept_shift_reg\[99\],6.94µm
_0126_,6.905µm
net508,6.9µm
_0045_,6.88µm
_0161_,6.88µm
_0230_,6.88µm
_0266_,6.84µm
_0409_,6.82µm
_0067_,6.79µm
_0095_,6.76µm
_0218_,6.76µm
deser_A.kept_shift_reg\[70\],6.72µm
_0364_,6.66µm
_0269_,6.64µm
deser_A.kept_shift_reg\[45\],6.64µm
net814,6.64µm
net737,6.64µm
_0462_,6.63µm
